iter	Passed	Remaining
0	63	63355
1	66	33375
2	70	23414
3	74	18655
4	78	15565
5	81	13461
6	84	12008
7	88	10997
8	92	10186
9	95	9460
10	98	8880
11	101	8388
12	106	8068
13	109	7709
14	112	7375
15	115	7088
16	118	6859
17	122	6698
18	126	6524
19	129	6351
20	132	6177
21	135	6034
22	140	5968
23	143	5826
24	146	5699
25	149	5595
26	152	5490
27	156	5447
28	160	5358
29	163	5289
30	167	5224
31	170	5166
32	174	5107
33	178	5058
34	180	4982
35	183	4926
36	188	4901
37	191	4854
38	195	4811
39	198	4759
40	201	4713
41	205	4698
42	208	4645
43	211	4595
44	214	4557
45	217	4513
46	221	4497
47	224	4457
48	228	4430
49	231	4392
50	234	4355
51	238	4350
52	241	4313
53	244	4276
54	247	4252
55	250	4219
56	253	4194
57	256	4164
58	259	4141
59	262	4112
60	265	4087
61	268	4062
62	271	4035
63	274	4007
64	276	3981
65	279	3959
66	283	3942
67	286	3920
68	289	3899
69	291	3877
70	294	3856
71	298	3845
72	301	3823
73	303	3800
74	306	3780
75	309	3760
76	312	3744
77	315	3724
78	317	3705
79	321	3693
80	324	3684
81	328	3677
82	331	3658
83	333	3640
84	337	3630
85	340	3620
86	343	3608
87	346	3593
88	349	3577
89	352	3562
90	355	3546
91	358	3534
92	361	3524
93	363	3508
94	367	3497
95	369	3483
96	372	3471
97	376	3462
98	378	3448
99	381	3435
100	385	3428
101	387	3414
102	391	3405
103	393	3392
104	396	3380
105	399	3368
106	402	3359
107	405	3351
108	408	3342
109	411	3332
110	414	3321
111	417	3310
112	420	3298
113	423	3291
114	426	3285
115	429	3276
116	433	3268
117	435	3258
118	439	3250
119	442	3241
120	444	3231
121	447	3220
122	450	3213
123	453	3202
124	456	3193
125	459	3187
126	462	3176
127	465	3168
128	467	3159
129	470	3149
130	474	3144
131	477	3137
132	479	3128
133	482	3120
134	485	3109
135	488	3105
136	492	3100
137	494	3090
138	497	3084
139	500	3074
140	503	3066
141	506	3063
142	509	3054
143	512	3047
144	515	3041
145	518	3033
146	522	3029
147	524	3021
148	527	3015
149	531	3012
150	534	3006
151	537	3000
152	540	2994
153	543	2987
154	546	2980
155	549	2972
156	552	2965
157	555	2958
158	558	2953
159	561	2946
160	565	2945
161	569	2944
162	573	2942
163	576	2940
164	581	2940
165	584	2935
166	587	2932
167	591	2927
168	594	2921
169	598	2921
170	602	2919
171	605	2914
172	608	2909
173	612	2906
174	616	2907
175	619	2900
176	622	2893
177	625	2888
178	629	2885
179	632	2882
180	635	2876
181	638	2869
182	641	2862
183	645	2860
184	648	2856
185	651	2850
186	654	2843
187	657	2839
188	660	2835
189	665	2835
190	668	2830
191	670	2823
192	674	2819
193	677	2815
194	681	2811
195	684	2806
196	686	2799
197	690	2795
198	692	2789
199	696	2785
200	700	2782
201	703	2779
202	706	2774
203	710	2772
204	714	2771
205	717	2765
206	720	2759
207	723	2755
208	727	2751
209	730	2748
210	733	2742
211	736	2739
212	740	2734
213	744	2733
214	746	2727
215	749	2721
216	752	2716
217	756	2712
218	760	2710
219	763	2706
220	766	2700
221	768	2694
222	772	2690
223	776	2688
224	779	2684
225	782	2678
226	784	2672
227	787	2666
228	791	2666
229	795	2663
230	798	2658
231	801	2653
232	804	2648
233	808	2645
234	811	2641
235	814	2636
236	817	2630
237	820	2627
238	824	2624
239	827	2621
240	830	2616
241	833	2611
242	836	2606
243	839	2601
244	843	2599
245	846	2594
246	849	2591
247	853	2587
248	856	2582
249	859	2579
250	862	2574
251	865	2569
252	868	2563
253	871	2559
254	875	2557
255	878	2552
256	881	2547
257	884	2542
258	887	2539
259	891	2537
260	894	2532
261	897	2529
262	901	2525
263	904	2522
264	908	2520
265	911	2515
266	914	2509
267	917	2506
268	920	2501
269	924	2500
270	927	2495
271	930	2489
272	933	2485
273	936	2482
274	940	2479
275	943	2476
276	946	2471
277	950	2467
278	952	2462
279	956	2460
280	959	2454
281	962	2451
282	965	2446
283	968	2442
284	972	2440
285	975	2435
286	978	2430
287	980	2425
288	983	2420
289	986	2416
290	990	2413
291	993	2408
292	996	2403
293	999	2399
294	1002	2394
295	1005	2392
296	1008	2387
297	1011	2383
298	1014	2379
299	1017	2374
300	1021	2371
301	1024	2366
302	1026	2362
303	1029	2357
304	1033	2353
305	1036	2350
306	1039	2347
307	1042	2342
308	1045	2338
309	1048	2334
310	1052	2330
311	1056	2329
312	1059	2325
313	1062	2321
314	1065	2317
315	1069	2314
316	1072	2311
317	1075	2306
318	1078	2303
319	1082	2299
320	1086	2298
321	1090	2296
322	1093	2292
323	1096	2288
324	1099	2284
325	1104	2282
326	1106	2277
327	1109	2274
328	1113	2270
329	1116	2266
330	1120	2264
331	1123	2260
332	1126	2256
333	1129	2252
334	1132	2248
335	1136	2246
336	1139	2242
337	1142	2238
338	1146	2234
339	1148	2229
340	1152	2227
341	1155	2223
342	1158	2219
343	1162	2216
344	1166	2214
345	1171	2214
346	1173	2209
347	1176	2204
348	1190	2220
349	1193	2215
350	1196	2212
351	1200	2210
352	1203	2205
353	1205	2200
354	1209	2197
355	1213	2195
356	1216	2190
357	1219	2187
358	1223	2185
359	1226	2180
360	1229	2176
361	1232	2172
362	1235	2168
363	1238	2163
364	1241	2159
365	1244	2155
366	1247	2152
367	1250	2147
368	1253	2143
369	1256	2139
370	1260	2136
371	1263	2132
372	1265	2127
373	1268	2123
374	1271	2119
375	1274	2115
376	1277	2111
377	1280	2107
378	1283	2102
379	1286	2098
380	1289	2094
381	1292	2090
382	1295	2086
383	1298	2082
384	1300	2077
385	1303	2074
386	1306	2069
387	1309	2065
388	1312	2062
389	1315	2057
390	1318	2053
391	1322	2050
392	1325	2046
393	1328	2042
394	1331	2039
395	1334	2035
396	1337	2031
397	1340	2027
398	1343	2023
399	1346	2019
400	1348	2014
401	1351	2010
402	1354	2006
403	1357	2002
404	1360	1998
405	1362	1993
406	1365	1989
407	1368	1985
408	1371	1981
409	1373	1976
410	1376	1972
411	1379	1968
412	1381	1964
413	1384	1960
414	1388	1957
415	1391	1952
416	1394	1949
417	1397	1945
418	1400	1941
419	1403	1937
420	1405	1933
421	1408	1929
422	1411	1925
423	1414	1922
424	1418	1918
425	1421	1914
426	1423	1910
427	1427	1907
428	1431	1904
429	1434	1901
430	1438	1898
431	1441	1895
432	1444	1891
433	1447	1887
434	1450	1883
435	1453	1880
436	1456	1875
437	1459	1872
438	1462	1868
439	1464	1864
440	1467	1860
441	1470	1856
442	1474	1853
443	1477	1850
444	1481	1847
445	1484	1843
446	1487	1840
447	1490	1836
448	1493	1833
449	1496	1828
450	1499	1825
451	1502	1822
452	1505	1817
453	1509	1814
454	1511	1810
455	1514	1807
456	1517	1803
457	1521	1800
458	1525	1797
459	1527	1793
460	1530	1789
461	1534	1786
462	1537	1782
463	1540	1779
464	1543	1776
465	1546	1772
466	1549	1768
467	1552	1765
468	1556	1762
469	1559	1758
470	1562	1754
471	1565	1751
472	1568	1747
473	1572	1744
474	1575	1741
475	1578	1737
476	1581	1734
477	1584	1730
478	1587	1726
479	1591	1724
480	1594	1720
481	1598	1717
482	1601	1713
483	1604	1710
484	1608	1707
485	1611	1704
486	1614	1700
487	1617	1696
488	1620	1693
489	1624	1690
490	1626	1686
491	1629	1682
492	1632	1679
493	1635	1675
494	1639	1672
495	1642	1669
496	1646	1665
497	1649	1662
498	1653	1660
499	1657	1657
500	1660	1654
501	1663	1650
502	1666	1646
503	1669	1643
504	1673	1640
505	1676	1636
506	1679	1632
507	1682	1629
508	1685	1625
509	1688	1622
510	1692	1619
511	1695	1616
512	1699	1612
513	1701	1609
514	1705	1606
515	1708	1602
516	1711	1599
517	1714	1595
518	1717	1592
519	1721	1589
520	1724	1585
521	1728	1582
522	1731	1578
523	1734	1575
524	1738	1572
525	1742	1569
526	1744	1566
527	1747	1562
528	1750	1558
529	1755	1556
530	1757	1552
531	1761	1549
532	1764	1545
533	1767	1542
534	1771	1539
535	1774	1535
536	1776	1532
537	1780	1528
538	1783	1525
539	1786	1521
540	1790	1518
541	1793	1515
542	1796	1511
543	1798	1507
544	1802	1504
545	1805	1501
546	1808	1497
547	1812	1494
548	1815	1491
549	1818	1488
550	1821	1484
551	1824	1480
552	1827	1477
553	1830	1473
554	1832	1469
555	1837	1466
556	1839	1463
557	1843	1460
558	1846	1456
559	1849	1452
560	1853	1450
561	1855	1446
562	1859	1442
563	1862	1439
564	1865	1436
565	1870	1433
566	1873	1430
567	1876	1427
568	1879	1423
569	1882	1420
570	1885	1416
571	1888	1413
572	1892	1409
573	1895	1406
574	1898	1402
575	1901	1399
576	1904	1396
577	1907	1392
578	1910	1389
579	1913	1385
580	1916	1381
581	1918	1378
582	1922	1374
583	1925	1371
584	1928	1368
585	1931	1364
586	1934	1361
587	1937	1357
588	1940	1354
589	1943	1350
590	1946	1346
591	1949	1343
592	1951	1339
593	1954	1335
594	1957	1332
595	1960	1328
596	1962	1325
597	1966	1321
598	1969	1318
599	1972	1314
600	1975	1311
601	1978	1308
602	1981	1304
603	1984	1301
604	1987	1297
605	1989	1293
606	1993	1290
607	1996	1287
608	1999	1283
609	2002	1280
610	2005	1276
611	2008	1273
612	2011	1269
613	2013	1266
614	2017	1262
615	2019	1259
616	2022	1255
617	2025	1252
618	2028	1248
619	2031	1245
620	2034	1241
621	2036	1237
622	2039	1234
623	2043	1231
624	2046	1227
625	2049	1224
626	2052	1221
627	2055	1217
628	2059	1214
629	2061	1210
630	2065	1207
631	2067	1204
632	2070	1200
633	2074	1197
634	2077	1194
635	2080	1190
636	2083	1187
637	2086	1183
638	2089	1180
639	2092	1177
640	2095	1173
641	2098	1170
642	2101	1166
643	2104	1163
644	2107	1159
645	2110	1156
646	2114	1153
647	2117	1150
648	2120	1146
649	2123	1143
650	2126	1139
651	2129	1136
652	2132	1133
653	2135	1129
654	2138	1126
655	2142	1123
656	2145	1120
657	2148	1116
658	2151	1113
659	2154	1109
660	2157	1106
661	2160	1103
662	2163	1099
663	2166	1096
664	2169	1092
665	2173	1089
666	2176	1086
667	2179	1083
668	2182	1079
669	2185	1076
670	2188	1073
671	2191	1069
672	2194	1066
673	2197	1063
674	2200	1059
675	2204	1056
676	2207	1053
677	2210	1050
678	2213	1046
679	2216	1043
680	2220	1040
681	2223	1036
682	2225	1033
683	2228	1029
684	2232	1026
685	2235	1023
686	2238	1020
687	2241	1016
688	2245	1013
689	2247	1009
690	2251	1006
691	2254	1003
692	2257	1000
693	2260	996
694	2263	993
695	2266	990
696	2270	986
697	2273	983
698	2276	980
699	2279	976
700	2282	973
701	2286	970
702	2288	967
703	2292	963
704	2295	960
705	2298	957
706	2301	953
707	2304	950
708	2308	947
709	2311	944
710	2315	941
711	2318	937
712	2321	934
713	2324	931
714	2327	927
715	2330	924
716	2334	921
717	2337	917
718	2340	914
719	2343	911
720	2346	908
721	2349	904
722	2352	901
723	2355	897
724	2358	894
725	2361	891
726	2365	888
727	2368	885
728	2372	881
729	2375	878
730	2378	875
731	2381	871
732	2384	868
733	2387	865
734	2390	861
735	2394	858
736	2396	855
737	2400	852
738	2403	848
739	2406	845
740	2409	842
741	2413	839
742	2416	835
743	2419	832
744	2421	828
745	2424	825
746	2427	822
747	2430	818
748	2433	815
749	2437	812
750	2440	809
751	2444	806
752	2446	802
753	2450	799
754	2453	796
755	2456	792
756	2459	789
757	2462	786
758	2465	782
759	2468	779
760	2471	776
761	2474	772
762	2477	769
763	2480	766
764	2483	763
765	2486	759
766	2489	756
767	2492	753
768	2495	749
769	2498	746
770	2502	743
771	2506	740
772	2509	737
773	2513	733
774	2516	730
775	2519	727
776	2522	723
777	2525	720
778	2528	717
779	2532	714
780	2535	710
781	2538	707
782	2541	704
783	2544	701
784	2548	697
785	2551	694
786	2554	691
787	2557	688
788	2560	684
789	2563	681
790	2566	678
791	2569	674
792	2572	671
793	2575	668
794	2578	664
795	2581	661
796	2584	658
797	2587	654
798	2590	651
799	2593	648
800	2596	645
801	2600	642
802	2603	638
803	2607	635
804	2610	632
805	2613	629
806	2616	625
807	2619	622
808	2623	619
809	2626	616
810	2630	612
811	2632	609
812	2636	606
813	2639	603
814	2642	599
815	2645	596
816	2647	593
817	2650	589
818	2654	586
819	2656	583
820	2659	579
821	2662	576
822	2665	573
823	2669	570
824	2672	566
825	2675	563
826	2679	560
827	2681	557
828	2685	553
829	2688	550
830	2691	547
831	2693	543
832	2696	540
833	2699	537
834	2703	534
835	2706	531
836	2709	527
837	2712	524
838	2715	521
839	2718	517
840	2721	514
841	2724	511
842	2726	507
843	2729	504
844	2732	501
845	2735	497
846	2738	494
847	2741	491
848	2744	488
849	2747	484
850	2750	481
851	2753	478
852	2756	474
853	2759	471
854	2762	468
855	2766	465
856	2769	462
857	2772	458
858	2776	455
859	2778	452
860	2781	449
861	2785	445
862	2788	442
863	2791	439
864	2794	436
865	2797	432
866	2800	429
867	2803	426
868	2807	423
869	2810	419
870	2813	416
871	2818	413
872	2820	410
873	2823	407
874	2826	403
875	2829	400
876	2832	397
877	2836	394
878	2839	390
879	2842	387
880	2845	384
881	2848	381
882	2851	377
883	2854	374
884	2856	371
885	2860	368
886	2863	364
887	2867	361
888	2870	358
889	2872	355
890	2876	351
891	2878	348
892	2881	345
893	2884	342
894	2887	338
895	2891	335
896	2895	332
897	2899	329
898	2903	326
899	2906	322
900	2910	319
901	2915	316
902	2918	313
903	2922	310
904	2925	307
905	2930	304
906	2936	301
907	2940	297
908	2944	294
909	2948	291
910	2952	288
911	2955	285
912	2959	281
913	2963	278
914	2966	275
915	2969	272
916	2973	269
917	2976	265
918	2980	262
919	2983	259
920	2986	256
921	2989	252
922	2992	249
923	2996	246
924	2999	243
925	3002	239
926	3005	236
927	3008	233
928	3012	230
929	3015	226
930	3018	223
931	3022	220
932	3025	217
933	3028	214
934	3031	210
935	3034	207
936	3037	204
937	3040	200
938	3044	197
939	3047	194
940	3049	191
941	3053	187
942	3056	184
943	3059	181
944	3062	178
945	3065	174
946	3068	171
947	3071	168
948	3073	165
949	3076	161
950	3080	158
951	3083	155
952	3086	152
953	3088	148
954	3091	145
955	3095	142
956	3097	139
957	3101	135
958	3104	132
959	3107	129
960	3110	126
961	3113	122
962	3115	119
963	3118	116
